ID,Orgname,City,Zip
463696,Anderson Hospital,MARYVILLE,62062
463698,University of Illinois,FREEPORT,61032
463713,Tone,CHICAGO,60605
463724,Northwestern Medicine,CHICAGO,60625
463726,Kodiak Robotics,CHICAGO,60657
463733,Indian Prairie School District 204,BARTLETT,60103
463734,Omorovicza,GLEN ELLYN,60137
463735,SAP America,CHICAGO,60610
463744,Champaign Public Schools,CHAMPAIGN,61821
463745,Shirley Ryan AbilityLab,AURORA,60502
463754,City of Chicago Treasurer,CHICAGO,60615
463755,Los Angeles Unified School District,CHICAGO,60619
463761,Highbar Consulting,CHICAGO,60657
463762,Mishkan Chicago,CHICAGO,60613
463765,State of Illinois,NAPERVILLE,60565
463768,Rachel Hall PC,OAK PARK,60304
463770,Township District 113,HIGHLAND PARK,60035
463771,Homesmart,NAPERVILLE,60565
463803,Researcher,CHICAGO,60640
463804,Interior Investments,WILMETTE,60091
463819,Alight,CHICAGO,60640
463830,Helen Hill Communication,ROCKFORD,61107
463840,Bull Valley Ford,MCHENRY,60051
463841,SIU Medicine,SPRINGFIELD,62703
463846,AFLAC Inc,FRANKFORT,60423
463848,Ssg                                               ,HUNTLEY,60142
463857,Kearney,WILMETTE,60091
463862,Usoncogy,CARY,60013
463864,Pixite Inc,PLAINFIELD,60544
463866,Cook County Circuit Court,NILES,60714
463873,Fermi Research Alliance,CHICAGO,60610
463911,Vital Proteins,LONG GROVE,60047
463913,Adio Chiropractic,LIBERTYVILLE,60048
463921,Cogent Healthcare,CHICAGO,60614
463925,Alight Solutions,CHICAGO,60615
463926,Huntington National Bank,NAPERVILLE,60563
463929,Samaritan Counseling Center,BARRINGTON,60010
463934,Menards Inc,SOUTH HOLLAND,60473
463937,Songwriter,CHICAGO,60649
463938,Ibotta Inc,CHICAGO,60614
463940,Caring Solutions,BRIGHTON,62012
463941,Simmons Hanly Conroy,BELLEVILLE,62223
463942,Grandbridge Re Capital,LINCOLN,62656
463948,Grubhub,NORTHBROOK,60062
463950,Neurosurgeon,HEYWORTH,61745
463992,Inquest,CHICAGO,60601
464002,Cappex,CHICAGO,60654
464003,Author,CHICAGO,60601
464014,Equality Illinois,CHICAGO,60640
464016,Bosch,CHICAGO,60654
464017,Chicago Public Schools,CHICAGO,60642
464018,Freelance Filmmaker,CHICAGO,60608
464022,Whole Foods Market,OAK PARK,60304
464028,Self-Employed,CHICAGO,60615
464031,Laurie Children's Hospital,CHICAGO,60640
464033,Attorney,CHICAGO,60622
464039,Bank of America,GLEN ELLYN,60137
464040,Slayback Pharma,WOODRIDGE,60517
464046,General Growth Properties Inc,CHICAGO,60649
464049,Wheels Inc,DESPLAINES,60016
464051,Spring Oak Renovations,NAPERVILLE,60540
464061,Zebra Technologies,BUFFALO GROVE,60089
464068,Hospital System,GLENCOE,60022
464090,Law Firm,CHICAGO,60645
464091,Pastor,O FALLON,62269
464155,Sidley Austin LLP,CHICAGO,60615
464165,Cusf,CHAMPAIGN,61821
464169,Fitness Formula Clubs (Ffc),CHICAGO,60615
464170,Veeva Systems,CHICAGO,60625
464172,Retailer,CHICAGO,60611
464181,CME Group,WILMETTE,60091
464187,Cornerstone Research,CHICAGO,60657
464188,AON plc,MOUNT PROSPECT,60056
464197,Shift7 Digitsl,EVANSTON,60201
464209,Studio Talo Architects,DEERFIELD,60015
46421,Team Graham,WADSWORTH,60083
464218,Cisco Systems,PEORIA,61606
464224,Law Offices of Robert M Gordon Ll,NORTHBROOK,60062
464228,JS Morton Dist 201,OAK PARK,60304
464231,Cerity Partners,RIVER FOREST,60305
464236,Farmer,DONNELLSON,62019
464239,Mother McAuley High School School,CHICAGO,60605
464244,Vogol Katz & Wold Llc,SKOKIE,60077
464247,Braven,WINNETKA,60093
464248,Fitness Trainer,CHICAGO,60660
464250,Physician,SOUTH HOLLAND,60473
464251,McLane Food Service,STONINGTON,62567
464255,Parker-Hannifin                                   ,CHICAGO,60654
464256,Exelon Corp,NAPERVILLE,60540
464265,Actor,OAK PARK,60302
464276,Costco Wholesale,GENEVA,60134
464278,Hurd Strategies,LAKE FOREST,60045
464285,Artist,HIGHLAND PARK,60035
464289,Bank of America,RIVER FOREST,60305
464298,Ivy League,CHICAGO,60640
464304,Buckley LLP,OAK PARK,60304
464305,Cook County Health,CHICAGO,60620
464307,Hilton Worldwide,OAK PARK,60302
464308,Newfounders,CHICAGO,60614
464309,Art Director,CHICAGO,60634
464310,Advocate,OAK PARK,60302
464311,AO Smith Corp,HILLSIDE,60162
464319,Unplugged Capital,EVANSTON,60201
464321,Giveashirt,BARRINGTON,60010
464335,Learning Specialist,WILMETTE,60091
464346,JK&B Capital,SOUTH BARRINGTON,60010
46435,E-PAC,CHICAGO,60655
464353,Jones Day,OAK PARK,60304
464355,Glenbrook District 225,BUFFALO GROVE,60089
464378,Consulting Firm,PARK RIDGE,60068
464382,US Navy,CHICAGO,60625
464383,Figliulo & Silverman,CHICAGO,60625
464389,Marquis Energy,PRINCETON,61356
464391,D'Orazio Capital Partners,HINSDALE,60521
464395,Carus Corp,OTTAWA,61350
464396,Self-Employed,OTTAWA,61350
464397,Cardinal Transportation,COAL CITY,60416
464399,Hunt Companies,COAL CITY,60416
464402,Exelon Corp,ST. CHARLES,60174
464403,Greenway Gmc,MORRIS,60450
464404,Captionaccess,KENILWORTH,60043
464405,Exelon Corp,FARNKFORT,60423
464406,Chapin's Restaurant,MORRIS,60450
464407,Grundy Bank,MORRIS,60450
464408,Northern Insurance,MORRIS,60450
464409,D Construction,GARDNER,60424
464472,Psychotherapist,DEERFIELD,60015
464473,United Airlines,CHICAGO,60645
464474,Educator,CHICAGO,60637
464478,Boeing Co,WESTCHESTER,60154
464479,Innis Law Group,CHICAGO,60654
464480,Federal Reserve Bank/Chicago,HIGHLAND PARK,60035
464481,Valassis Inc,CHICAGO,60640
464483,LG Hausys,CHICAGO,60640
464486,Uchicago Medicine,LISLE,60532
464493,Geneva Eye Clinic,SYCAMORE,60178
464494,Walt Disney World,HIGHLAND PARK,60035
464495,Getco LLC,OAK PARK,60302
464503,KGK Management,SUGAR GROVE,60554
464504,Service Employees International Union,CHICAGO,60626
464506,St James Lutheran Church,LAKE BLUFF,60044
464513,Allied Anesthesia Assoc,CHICAGO,60610
464522,Physician,HOFFMAN ESTATES,60169
464524,Village of Palatine,ARLINGTON HEIGHTS,60004
464525,Libertyville Township,ANTIOCH,60002
464537,Attorney,MORRIS,60450
464540,D Construction,MORRIS,60450
464544,Exelon Corp,NORTHFIELD,60093
464545,Exelon Lasalle Station,STREATOR,61364
464547,Agri-Tile Systems,MAZON,60444
464548,Exelon Corp,CHICAGO,60630
464549,De Ferro,MORRIS,60450
464551,Del Monte Foods,MORRIS,60450
464552,Exelon Corp,WHEATON,60187
464554,Dow Jones & Co,HIGHLAND,62249
464576,Illinois Gastroenterology Group,GLENCOE,60022
464611,Sovereign Infrastructure Group,CHICAGO,60657
464618,Hoover & Assoc,FLOSSMOOR,60422
464630,Ecommerce Retailer,PROSPECT HEIGHTS,60070
464631,QB Innovations,CHICAGO,60654
464632,Coastal Partners LLC,CHICAGO,60622
464639,Homemaker,MARSEILLES,61341
464640,Exelon Corp,CHICAGO,60649
464641,Crest Hill Clinic Ltd,CREST HILL,60403
464642,Evenson Explosives,MORRIS,60450
464643,Sk Intertainment,MORRIS,60450
464646,Greenstone Partners,CHICAGO,60614
464661,Cgr Technologies,CHICAGO,60631
464667,Creative on Call,EVANSTON,60202
464669,Parris Productions,CHICAGO,60613
464677,Swedish Covenant Hospital,CHICAGO,60640
464682,Salesforce.com,HOFFMAN ESTATES,60192
464683,Nbcuniversal Media,SKOKIE,60077
464684,Dentons US,OAK FOREST,60452
464688,Vision Management Services,CHICAGO,60646
464692,Cibc Bank Usa,CHICAGO,60605
464693,Realtor,SPRINGFIELD,62704
464694,Dixon School District 170,DIXON,61021
464706,Arlington Heights District 214,ARLINGTON HEIGHTS,60005
464708,Northlight Theatre,EVANSTON,60201
464709,Acupuncture,DES PLAINES,60018
464716,Advantage Resourcing,EDWARDSVILLE,62025
464717,Northshore University Health System,CHICAGO,60654
464718,American Academy of Pediatrics,GLENVIEW,60025
464719,Brand Consultant,CHICAGO,60657
464720,Procurement,PEORIA,61615
464722,Political Consultant,CHICAGO,60626
464724,Re/Max Realty,SOUTH BARRINGTON,60010
464732,University of Chicago Laboratory Schools,OLYMPIA FIELDS,60461
464733,Core Center of Cook County,HILLSIDE,60162
464735,Starleaf,CHAMPAIGN,61821
464738,Chicago Community Trust,CHICAGO,60647
464741,Randstad Technologies,PARK RIDGE,60068
464742,HSR Property Services,TINLEY PARK,60487
464745,People's Action,WHEATON,60189
464769,Matrex Exhibits,LA GRANGE,60525
464773,Brookfield Properties,CHICAGO,60614
464779,Rush Hospital,CHICAGO,60616
464782,Fantasy Amusements,ARLINGTON HEIGHTS,60004
464785,Driv,EVANSTON,60201
464790,Jacobs & Clevenger,CHICAGO,60614
464793,Elmer Larson LLC,DEKALB,60115
464796,SKK Insurance Services LLC,HOFFMAN ESTATES,60169
464798,GTCR LLC,WINNETKA,60093
464805,Chicago Properties Firm,CHICAGO,60614
464806,Motorola Solutions,CHICAGO,60625
464818,General Contractor,EVANSTON,60201
464826,Chicago Athletic Clubs,CHICAGO,60625
464831,Amalgamated Transit Union,RICHTON PARK,60471
464832,Exelon Corp,WESTERN SPRINGS,60558
464833,Exelon Corp,HINSDALE,60521
464834,Exelon Corp,RIVER FOREST,60305
464835,Sac Corp,KANKAKEE,60901
464837,Gantzert Investment Co,JOLIET,60435
464839,Dwight High School,DWIGHT,60420
46484,Team Graham,OAK PARK,60302
464840,Hoffman Trans,DWIGHT,60420
